#START#
y	100011
Y	10010011
F	10110100
f	101111001
g	11101
u	11110
â	100000
I	10011111
r	101111101
Å	10110010
e	10111011
m	101111010
i	101111111
G	001
ª	1010000
L	000
Â	10110000
l	11111
S	10011011
N	10110101
W	10110110
n	1100
b	100010
Q	1010001
p	11100
k	011
j	1010100
t	10111010
w	101111000
d	101111100
M	10011100
o	10111000
K	10010000
X	10010001
V	10010100
a	10111001
R	10011001
ï	10110001
h	1101
Ã	10010101
C	1010110
T	010
q	10010110
P	10011000
U	10010010
A	10011110
z	1010011
B	10110111
x	10011010
H	10011101
D	1010010
c	101111011
v	100001
J	10010111
O	1010101
E	1010111
Z	10110011
s	101111110
#END#
